index,latitude,longitude,open_datetime,closed_datetime
9066,42.357872,-71.062811,1632477600.0,1632502800.0
9068,42.365918,-71.060629,1632477600.0,1632531600.0
9069,42.355199,-71.063199,1632477600.0,1632510000.0
9070,42.173661,-71.111336,1632470400.0,1632524400.0
9072,42.343678,-71.065989,1632474000.0,1632520800.0
9074,42.414324,-71.046951,1632474000.0,1632535200.0
9075,42.40243,-71.050016,1632470400.0,1632520800.0
9076,42.43041,-71.042418,1632474000.0,1632531600.0
9077,42.349631,-71.063564,1632475800.0,1632535200.0
9078,42.352339,-71.062559,1632475800.0,1632510000.0
9079,42.35092,-71.062282,1632477600.0,1632528000.0
9080,41.750159,-71.22448,1632470400.0,1632524400.0
9081,42.420147,-71.043889,1632474000.0,1632535200.0
9082,42.358925,-71.059678,1632477600.0,1632510000.0
9083,42.359653,-71.059296,1632475800.0,1632520800.0
9084,42.355852,-71.06019,1632481200.0,1632522600.0
9085,42.359514,-71.058912,1632475800.0,1632524400.0
9086,41.578086,-71.270792,1632474000.0,1632538800.0
9087,42.354451,-71.059483,1632477600.0,1632502800.0
9088,42.356754,-71.058844,1632477600.0,1632510000.0
9089,42.375741,-71.053448,1632474000.0,1632524400.0
9090,42.358146,-71.057964,1632474000.0,1632510000.0
9091,41.985523,-71.157556,1632470400.0,1632524400.0
9092,42.360666,-71.056373,1632477600.0,1632535200.0
9093,42.35354,-71.057967,1632475800.0,1632510000.0
9094,42.32607,-71.06521,1632477600.0,1632531600.0
9095,42.356683,-71.056588,1632475800.0,1632510000.0
9096,42.549777,-71.005884,1632474000.0,1632528000.0
9097,42.359102,-71.054752,1632475800.0,1632510000.0
9098,41.522282,-71.282393,1632474000.0,1632538800.0
9099,42.514683,-71.013558,1632474000.0,1632531600.0
9100,42.35096,-71.0563,1632477600.0,1632524400.0
9101,42.46108,-71.027136,1632484800.0,1632522600.0
9102,42.595942,-70.991987,1632474000.0,1632524400.0
9103,42.354598,-71.054487,1632477600.0,1632524400.0
9104,42.351974,-71.054973,1632472200.0,1632524400.0
9105,42.357581,-71.053318,1632477600.0,1632502800.0
9106,42.356547,-71.053354,1632475800.0,1632510000.0
9107,42.576249,-70.995945,1632472200.0,1632528000.0
9109,42.50279,-71.014911,1632474000.0,1632531600.0
9110,42.441548,-71.03072,1632474000.0,1632524400.0
9111,42.342336,-71.056166,1632474000.0,1632513600.0
9112,42.320789,-71.061242,1632474000.0,1632542400.0
9113,42.358424,-71.051296,1632477600.0,1632524400.0
9114,42.496317,-71.015192,1632474000.0,1632531600.0
9115,42.398251,-71.040541,1632474000.0,1632524400.0
9116,42.335749,-71.05599,1632472200.0,1632538800.0
9119,42.454469,-71.023829,1632470400.0,1632524400.0
9120,42.389058,-71.040802,1632470400.0,1632531600.0
9121,42.393583,-71.039,1632470400.0,1632535200.0
9122,42.405171,-71.035633,1632474000.0,1632535200.0
9123,42.445138,-71.02504,1632474000.0,1632528000.0
9124,42.351129,-71.04941,1632477600.0,1632510000.0
9125,42.321912,-71.056874,1632477600.0,1632531600.0
9127,42.284944,-71.064694,1632472200.0,1632524400.0
9128,42.272395,-71.067768,1632474000.0,1632524400.0
9129,42.432096,-71.025647,1632474000.0,1632542400.0
9130,42.308578,-71.057927,1632470400.0,1632524400.0
9131,41.748843,-71.209345,1632474000.0,1632517200.0
